image_path,Detection,has_animal_SAM,Localization
a72c5d06-5db3-4bce-d40a-56159800b5b0.jpg,1,True,"tensor([[  -8.3081,    7.5936, 3957.8616, 2257.0979]], device='cuda:0')"
edd11eae-c455-121f-3a05-d3717843f0ec.jpg,1,True,"tensor([[ 780.1257,  912.0635, 2613.8108, 2535.9360]], device='cuda:0')"
7be7176a-4057-b2d6-c2c3-78c5e1cf0351.jpg,1,True,"tensor([[ 603.5359,  177.2489, 3348.5347, 2571.4888]], device='cuda:0')"
37e3b667-febf-d30e-de05-628402acdc9b.jpg,1,True,"tensor([[ 590.2174,  325.7678, 4195.1372, 3451.1047]], device='cuda:0')"
d755bb35-450b-3f97-f973-42f1ec9a6845.jpg,2,True,"tensor([[3238.2817, 1186.0509, 4619.3462, 2241.0745],
        [1323.7793, 1198.2987, 3145.9443, 2354.7832]], device='cuda:0')"
ea894444-0787-b87d-b9df-47156cc15992.jpg,2,True,"tensor([[1402.7692,  460.3300, 1507.2582,  513.2222],
        [ 343.1326,  807.6334, 2988.3296, 2287.6089]], device='cuda:0')"
f347e359-3cda-fb80-b9e5-4ec24c98cd72.jpg,1,True,"tensor([[1872.3204,  496.6635, 2676.7798, 2294.8352]], device='cuda:0')"
bb5c3e95-e27f-de3e-3c0c-56f101dd297b.jpg,2,True,"tensor([[1158.0682, 1022.5066, 1265.8466, 1090.6541],
        [ 467.3020,  483.2808, 1959.4199, 1376.1948]], device='cuda:0')"
29146e59-3876-62f1-f697-9ab0c584d0ea.jpg,1,True,"tensor([[ 573.0400,  113.4140, 4576.2734, 2321.3560]], device='cuda:0')"
27313561-b12a-083c-ceb0-fd3f6559b208.jpg,5,True,"tensor([[1657.6882,  527.5708, 2296.8359,  979.0718],
        [ 434.3211,  530.9251,  951.6885, 1037.9742],
        [1441.8966,  630.0189, 1647.0107,  951.0693],
        [ 935.1845,  451.5572, 1672.2837,  994.3648],
        [1438.7668,  509.5597, 1767.5624,  944.2585]], device='cuda:0')"
044087c2-e79b-e6bb-6be7-99a8ce670b65.jpg,1,True,"tensor([[ 695.1157,  795.4022, 2204.1982, 3472.9412]], device='cuda:0')"
61ce57e8-1a33-8960-4eac-042b7e3a4c06.jpg,1,True,"tensor([[ 500.6663,  449.7019, 1849.6288, 1112.4204]], device='cuda:0')"
0d7e2d41-b322-cab3-0889-9936d28fc078.jpg,1,True,"tensor([[2302.1890, 1142.6517, 2896.8987, 1914.8931]], device='cuda:0')"
312bebc9-924b-d07e-0904-bb26f73b3ac0.jpg,1,True,"tensor([[ 730.8232,   -4.9476, 2000.5273, 2805.1860]], device='cuda:0')"
f6c5e991-3896-bbf3-9613-76c2adec4439.jpg,8,True,"tensor([[2261.1411, 1474.3307, 3017.5962, 2115.5322],
        [1512.1093, 1513.7081, 2286.8584, 2180.3425],
        [3788.5229, 1514.3684, 5237.1431, 2413.6118],
        [4327.3105, 1791.1647, 5438.8022, 2391.6074],
        [ 860.4285, 1497.9340, 1572.8761, 2118.9678],
        [ 405.5340, 1484.1310,  859.5612, 1895.0854],
        [2986.3931, 1441.1995, 3575.7136, 2265.4189],
        [3360.3103, 1547.5359, 4535.9067, 2315.0256]], device='cuda:0')"
95db803f-6fa3-05b7-964e-9396666c8709.jpg,3,True,"tensor([[1941.8835, 1222.6851, 3717.9087, 2249.5540],
        [  -5.8201, 1360.0304,  748.5952, 3147.6602],
        [ -15.8369, 1019.2186, 1548.9725, 2862.2830]], device='cuda:0')"
bda78705-0767-95e7-4d8c-085a4faee6b0.jpg,4,True,"tensor([[ 4.3756e+03,  1.8291e+03,  4.6201e+03,  2.7675e+03],
        [ 4.6088e-01, -5.2568e+00,  9.0840e+02,  8.1054e+02],
        [ 1.7311e+03,  5.7339e+02,  3.8587e+03,  2.5731e+03],
        [ 4.3596e+03,  1.3165e+03,  4.4504e+03,  1.3811e+03]], device='cuda:0')"
a3ca35e0-ba02-679d-ad64-8cc46ad37ab6.jpg,2,True,"tensor([[2845.0745, 2135.8606, 3370.7185, 2738.8425],
        [  75.4109, 2185.9170,  636.0789, 2785.2893]], device='cuda:0')"
c9a4713d-41f0-1e4c-2390-50349285cf2a.jpg,0,False,"tensor([], device='cuda:0', size=(0, 4))"
cfdd7af2-d681-a906-0493-d394c91afd1d.jpg,10,True,"tensor([[4090.2839,  325.0984, 4283.8589,  429.0600],
        [ 270.4485,  726.6575,  419.6879,  826.9947],
        [  -7.1575,  160.9528, 2855.9365, 2899.5679],
        [ 722.5220,  701.2853,  919.7678,  781.4401],
        [3757.5522,  347.6815, 3841.4360,  413.7855],
        [1685.4708,  599.2778, 1813.3884,  678.4631],
        [ 411.2704,  667.7282,  695.8894,  805.9346],
        [1469.8506,  575.9054, 1688.6210,  694.0377],
        [ 387.7946,  481.4318, 4074.3813, 3040.3979],
        [3300.5698,  377.4699, 3425.7031,  447.5350]], device='cuda:0')"
14ef222e-2891-af57-cba1-e86514a0e004.jpg,1,True,"tensor([[  -6.4585,  809.0209, 3289.3413, 3137.5488]], device='cuda:0')"
fddbc544-c8dc-e883-0772-f270dd326c5f.jpg,2,True,"tensor([[3021.8289,  807.6583, 4624.9189, 2590.3132],
        [ 654.6346,  797.4180, 3849.5488, 2720.8425]], device='cuda:0')"
106f308a-7a4e-15c2-6b8e-725cf3e76305.jpg,0,False,"tensor([], device='cuda:0', size=(0, 4))"
fb3eb025-4f70-e900-3e44-7770503631e9.jpg,1,True,"tensor([[1251.3630,  355.9691, 3135.3538, 3450.3220]], device='cuda:0')"
d82b53e0-75c5-3ebc-9e74-8ef2a2551f74.jpg,2,True,"tensor([[-9.6103e-01,  9.1922e+02,  9.6470e+02,  2.4635e+03],
        [ 7.7470e+02,  1.3025e+03,  4.2561e+03,  3.2038e+03]], device='cuda:0')"
9c35c1aa-a058-8ec4-c548-24d8ebc93957.jpg,0,False,"tensor([], device='cuda:0', size=(0, 4))"
207bb430-2059-8b8b-416b-0348040b0bd1.jpg,2,True,"tensor([[1063.5739,  -15.6232, 3181.6707, 2195.9563],
        [1817.9486,  125.3099, 2354.6160, 1748.4630]], device='cuda:0')"
810723dc-66fd-b71d-db6d-c07bd77d3a3a.jpg,2,True,"tensor([[-2.0066e+00,  1.3858e+03,  4.8000e+02,  2.0377e+03],
        [ 1.2309e+03,  8.5010e+02,  2.9585e+03,  2.9175e+03]], device='cuda:0')"
b96c37ae-d1a6-27d9-ff8b-e9edc10e39f8.jpg,1,True,"tensor([[1429.9172,  631.5107, 3248.5024, 2564.7334]], device='cuda:0')"
57ffe870-d724-4add-84a5-59d7739667af.jpg,1,True,"tensor([[ 852.1150,  229.9540, 1352.5754,  895.5037]], device='cuda:0')"
b5bc4cce-db29-bd53-c899-b9e8010352eb.jpg,5,True,"tensor([[ 143.7215,  248.6510,  226.9303,  329.9785],
        [ 217.3923,  253.2693,  328.6758,  343.6696],
        [  64.1650,  280.1784,  266.1889,  395.9335],
        [ 767.6345,  105.7092, 2193.8491, 1940.2678],
        [ 754.6592,  365.3268,  859.3984,  439.1158]], device='cuda:0')"
c9b051a1-c251-ae33-aef3-f492c6ea731d.jpg,3,True,"tensor([[ 421.9177,   -4.1561,  488.4974,   24.0761],
        [ 870.8878,  338.4797, 1833.6975, 1583.9261],
        [1136.1045,   74.8149, 1198.7921,  146.3833]], device='cuda:0')"
576dbe83-3733-d804-eedc-b2de1ebab777.jpg,2,True,"tensor([[ 1.8612e+03,  6.6066e+02,  3.6988e+03,  2.1020e+03],
        [-2.9970e+00,  6.8762e+02,  2.3055e+03,  2.1334e+03]], device='cuda:0')"
3a25cdbd-d1a2-af68-ed51-b2205654a3f9.jpg,3,True,"tensor([[2607.3044,  281.0566, 4610.0234, 2832.9038],
        [1476.1024,  703.1465, 4302.7549, 2865.6604],
        [ 402.1288,  825.9493, 4270.5264, 3015.7224]], device='cuda:0')"
919b170c-44cd-dd9a-c9ad-3f98afab848d.jpg,0,False,"tensor([], device='cuda:0', size=(0, 4))"
70879527-97d7-d19d-d46e-6b59d84a8b89.jpg,2,True,"tensor([[ 877.0969,  125.4834,  960.4172,  175.5624],
        [ 256.5848,   74.1212, 2511.9971, 1262.5879]], device='cuda:0')"
5119586f-794e-218b-055d-630ea0f4f939.jpg,6,True,"tensor([[1788.6464,  824.4332, 2425.2036, 1438.4506],
        [1900.5505,  810.0167, 2607.2158, 1454.5557],
        [ 469.1820,  795.1122, 1271.8594, 1359.4330],
        [1576.0394,  836.9929, 2193.4365, 1357.1052],
        [ 901.0344,  672.1188, 1064.5822,  788.7627],
        [ 772.1519,  783.0694, 1637.9196, 1417.3564]], device='cuda:0')"
