image_path,Detection,Species category,Localization
ae866980-d1ff-3b92-3b70-3dd14c23eab9_5121.jpg,0,other,"tensor([], device='cuda:0', size=(0, 4))"
6b9cd27b-08a5-e139-649b-717daef0f224_5931.jpg,1,zebra_grevys,"tensor([[  20.6038,   16.1331, 3299.0979, 2143.6042]], device='cuda:0')"
492b7578-d848-c99e-f59d-29a4d3ccaa57_1480.jpg,0,other,"tensor([], device='cuda:0', size=(0, 4))"
d7dcce6e-7712-d1f0-1fe9-b479294660ac_324.jpg,3,zebra_grevys,"tensor([[1742.4977,  279.5638, 2309.9932, 1242.6776],
        [1736.8086,  277.6132, 2333.4539, 1564.4275],
        [ -17.9621,    3.4028, 1452.6262, 1586.2006]], device='cuda:0')"
2b155e14-3603-501c-51f4-d57b1e5078f7_4131.jpg,3,zebra_grevys,"tensor([[331.2557,  18.9678, 588.4959, 161.4465],
        [ -5.0137, 103.4758, 224.6867, 161.7760],
        [  8.3843,  14.3521, 587.0950, 161.3056]], device='cuda:0')"
a87589af-a463-9423-e6a9-4c42f5f6290e_939.jpg,0,other,"tensor([], device='cuda:0', size=(0, 4))"
a1ae0f75-03de-53c6-804e-b029f62f3096_3900.jpg,0,other,"tensor([], device='cuda:0', size=(0, 4))"
5f72fdfa-9947-70d8-fccc-8cea350c7bb6_3995.jpg,3,zebra_grevys,"tensor([[  -8.6740,   95.0233,  440.3317,  983.5781],
        [  15.8709,   61.8346, 1423.7721, 1941.1960],
        [ -11.1128,   86.4566,  838.3381, 1540.3228]], device='cuda:0')"
dfb08b10-8ea0-ae8e-ec8d-d0d782839646_522.jpg,2,zebra_grevys,"tensor([[ 3.1843e-01,  5.0854e+01,  1.3655e+02,  5.3713e+02],
        [-1.6293e-02,  2.0352e+01,  1.5242e+03,  8.1508e+02]], device='cuda:0')"
c21633b3-9fcf-474e-e405-6a62b8e9a105_3320.jpg,1,zebra_grevys,"tensor([[-5.7192e+00,  7.4041e-01,  7.7249e+02,  1.4185e+03]], device='cuda:0')"
37aee23e-cc7a-1cd9-a207-7e1d2d51b842_3924.jpg,1,zebra_grevys,"tensor([[ -1.3353,  10.4959, 131.6173, 182.6638]], device='cuda:0')"
5d1f3f46-ceca-201b-d3a5-c27c4c934428_871.jpg,0,other,"tensor([], device='cuda:0', size=(0, 4))"
79890d27-31e1-e252-9a51-00d3065510a7_88.jpg,2,zebra_grevys,"tensor([[ -2.2406,  58.2468, 300.5722, 688.5138],
        [ 19.0895,  13.1039, 740.0632, 704.0732]], device='cuda:0')"
0e49bc5e-4fac-03e6-551d-5d4f78ea83d4_4462.jpg,2,zebra_grevys,"tensor([[2.1848e+02, 2.8950e+00, 4.1180e+02, 5.9045e+01],
        [2.1781e+02, 3.6786e-01, 5.4879e+02, 5.9659e+01]], device='cuda:0')"
696b528f-a816-ce6f-8b84-87085b437988_295.jpg,4,zebra_grevys,"tensor([[  45.5521,   24.3166, 1507.4967, 1183.6530],
        [ 816.4444,  179.4357, 1506.7531, 1176.1178],
        [ -14.8749,    2.8716,  644.0952,  905.1653],
        [  38.3139,   42.9020, 1153.1405, 1212.7664]], device='cuda:0')"
6b7ec724-d3fb-0411-bc65-0f95b3f4525b_1347.jpg,1,zebra_grevys,"tensor([[ 16.0165,  14.9967, 934.9897, 655.8864]], device='cuda:0')"
a3e5c0bb-fe66-9bc5-5f09-ca6924010a88_5768.jpg,1,zebra_grevys,"tensor([[ -12.8032,    9.0861, 3489.0186, 1750.4639]], device='cuda:0')"
8e741e55-ab4a-3993-cb1f-5e880709b757_8745.jpg,0,other,"tensor([], device='cuda:0', size=(0, 4))"
c21633b3-9fcf-474e-e405-6a62b8e9a105_3319.jpg,5,zebra_grevys,"tensor([[ 1.3600e+03,  2.8993e+02,  1.9041e+03,  6.2518e+02],
        [-7.2740e+00,  1.2810e+01,  2.4419e+02,  6.2635e+02],
        [-1.4931e+01,  1.5586e+01,  1.2724e+03,  6.2541e+02],
        [ 1.8466e+00, -2.7370e+00,  1.8621e+03,  6.2200e+02],
        [ 1.8143e+02,  3.6134e+02,  1.2679e+03,  6.2800e+02]], device='cuda:0')"
ce036648-ac84-4cc8-d15e-168f3dd02b71_4143.jpg,3,zebra_grevys,"tensor([[ 410.6162,  188.0028, 1013.7527, 2003.8549],
        [  -9.7440,   -9.5230,  786.0406, 1144.6965],
        [  27.9650,   35.5814, 1009.6924, 2005.2412]], device='cuda:0')"
4be1a353-92ab-bf9b-8487-42cf4c498297_804.jpg,0,other,"tensor([], device='cuda:0', size=(0, 4))"
4db0525a-58e1-8aba-3a1b-edd9918c537a_4042.jpg,1,zebra_grevys,"tensor([[  18.5480,   19.0401, 1746.0225, 1084.1315]], device='cuda:0')"
8e2c97d0-df4e-85f4-5c35-d7eb5455422d_3120.jpg,3,zebra_grevys,"tensor([[  30.7924,   16.4417, 1601.3594, 3048.0664],
        [ -11.5207,   30.5602, 1643.4518, 2826.9883],
        [ -18.8634,  231.5215,  877.4125, 2807.8640]], device='cuda:0')"
e3728337-94a3-fa71-7af8-282e5f608b73_1020.jpg,0,other,"tensor([], device='cuda:0', size=(0, 4))"
c7fa4233-a055-af38-c759-604815ef2521_5194.jpg,5,zebra_grevys,"tensor([[ -0.9844, 359.5730, 345.4012, 426.4625],
        [ 44.2870,   5.2066, 471.8707, 378.9957],
        [ 41.6742,   3.8983, 472.0909, 423.1387],
        [188.8309,   8.6870, 395.7842, 423.3744],
        [ 44.9986,  42.6479, 230.7427, 374.5681]], device='cuda:0')"
e0cb2bf9-ea65-f6f3-41c7-bae01f307aaa_6219.jpg,1,zebra_grevys,"tensor([[   5.9306,   14.8246, 1879.3083, 1106.9287]], device='cuda:0')"
88a703bf-a0d0-e3a6-70e8-4817fac3934d_3610.jpg,1,zebra_grevys,"tensor([[ -0.7712,  51.8370, 139.7743, 578.1448]], device='cuda:0')"
